他感冒了。	tā gǎnmào le	He caught a cold.
香山红叶是北京最浓最浓的秋色。	xiāngshān hóngyè shì Běijīng zuì nóng zuì nóng de qiūsè	The red leaves of maple trees of the Fragrant Hills are the most charming autumn scenery in Beijing.
他的秘密至死也不为人知，因为他从未告诉过别人。	tā de mìmì zhì sǐ yě bùwéirénzhī yīnwèi tā cóngwèi gàosu guò biéren	His secret died with him, for he never told anyone.
这件工作同你早先的工作相比, 有些令人失望.	zhè jiàn gōngzuò tóng nǐ zǎoxiān de gōngzuò xiāngbǐ yǒuxiē lìngrén shīwàng	Beside your earlier work this piece seems rather disappointing.
各种各样的影响有助于塑造我们的孩子们的性格。	gèzhǒnggèyàng de yǐngxiǎng yǒuzhùyú sùzào wǒmen de háizimen de xìnggé	Many influences help to fashion our children's characters.
经济知识对于理解这个问题是至关重要的。	jīngjì zhīshi duìyú lǐjiě zhège wèntí shì zhìguānzhòngyào de	A knowledge of economics is fundamental to any understanding of this problem.
开往北京的火车将于半小时后从三站台开出。	kāiwǎng Běijīng de huǒchē jiāng yú bànxiǎoshí hòu cóng sān zhàntái kāi chū	The train to Beijing will depart from platform 3 in half an hour.
机场当局已答应重新检查他们的安全措施。	jīchǎng dāngjú yǐ dāying chóngxīn jiǎnchá tāmen de ānquáncuòshī	The airport authorities have promised to review their security measurements.
这个小女孩因为斜视不敢在公共场合露面。	jīchǎng dāngjú yǐ dāying chóngxīn jiǎnchá tāmen de ānquáncuòshī	The little girl dares not to appear in public because she is cross-eyed.
不符合这些要求的考生不能上这所大学。	bùfúhé zhèxiē yāoqiú de kǎoshēng bùnéng shàng zhè suǒ dàxué	Candidates who fail to meet these requirements will not be admitted to the University.
无疑，他们一定知道这样讲话可能产生的后果。	wúyí tāmen yīdìng zhīdào zhèyàng jiǎnghuà kěnéng chǎnshēng de hòuguǒ	Certainly they must know the probable result of such speeches.
这一千本书将构成学校新图书馆藏书的基础。	zhè yī qiān běn shū jiāng gòuchéng xuéxiào xīn túshūguǎn cángshū de jīchǔ	These 1000 books will form the nucleus of the new school library.
几个星期来她一直呆在家中照顾有病的父亲。	jǐge xīngqī lái tā yīzhí dāi zài jiāzhōng zhàogu yǒu bìng de fùqīn	She has been tied to the house for weeks looking after her invalid father.
在外表上她保持着平静，但实际上她生气极了。	zài wàibiǎo shàng tā bǎochí zhe píngjìng dàn shíjìshàng tā shēngqì jíle	She maintained a calm exterior, though really she was furious.
我对他并不了解，虽然我认识他已经很长时间了。	wǒ duì tā bìngbù liǎojiě suīrán wǒ rènshi tā yǐjīng hěn cháng shíjiān le	I don't know him well though I've known him for a long time.
在共同反对非正义行为的斗争中, 我们都是同志.	zài gòngtóng fǎnduì fēi zhèngyì xíngwéi de dòuzhēng zhōng wǒmen dōu shì tóngzhì	We are all brothers in the same fight against injustice.
要是不给你添太多麻烦的话，我倒是愿意留下来。	yàoshi bù gěi nǐ tiān tài duō máfan dehuà wǒ dàoshi yuànyì liúxià lái	I'd like to stay if it's not too much of an imposition on you.
根据定义,首都是一个国家的政治文化中心。	gēnjù dìngyì shǒudū shì yī gè guójiā de zhèngzhì wénhuà zhōngxīn	By definition the capital is the political and cultural center of a country.
先让我烤烤火暖和一下，然后我们开始谈话。	xiān ràng wǒ kǎo kǎohuǒ nuǎnhuo yīxià ránhòu wǒmen kāishǐ tánhuà	Just give me a minute to thaw out in front of the fire, then we can talk.
我一想到要对这样的听众讲话，就有些胆小。	wǒ yī xiǎngdào yào duì zhèyàng de tīngzhòng jiǎnghuà jiù yǒuxiē dǎnxiǎo	I was rather daunted by the thought of addressing such an audience.
连长说军队生活可以使新兵锻炼得更坚强。	liánzhǎng shuō jūnduì shēnghuó kěyǐ shǐ xīnbīng duànliàn dé gèng jiānqiáng	The company leader said that army life would toughen the recruits up.
班里所有的男孩都想陪这个漂亮的女孩一起出游。	bān lǐ suǒyǒu de nánhái dōu xiǎng péi zhège piàoliang de nǚhái yīqǐ chūyóu	All the boys in the class want to go out with the pretty girl.
自由党候选人轻易获胜，超出选票数以千计。	zìyóudǎng hòuxuǎnrén qīngyì huòshèng chāochū xuǎnpiào shùyǐqiānjì	The liberal candidate romped through with thousands of votes to spare.
一位德国科学家打断了我，并问我是否来自中国。	yī wèi Déguó kēxuéjiā dǎduàn le wǒ bìng wèn wǒ shìfǒu láizì Zhōngguó	A German scientist interrupted me and asked if I came from China.
盒式音像带上有个小窗, 能看见里面的磁带.	hé shì yīnxiàng dài shàng yǒu gè xiǎo chuāng néng kànjiàn lǐmiàn de cídài	There is a little window in the cassette case so that you can see the tape.
整个作业的安全让一个粗心大意的人给破坏了.	zhěnggè zuòyè de ānquán ràng yī gè cūxīndàyì de rén gěi pòhuài le	The security of the whole operation has been jeopardized by one careless person.
我们必须把理论与实践相结合是个重要的原则。	wǒmen bìxū bǎ lǐlùn yǔ shíjiàn xiāng jiéhé shì gè zhòngyào de yuánzé	It is an essential principle that we must combine theory with practice.
很奇怪他们改变了计划，但我觉得没有什么用处。	hěn qíguài tāmen gǎibiàn le jìhuà dàn wǒ juéde méiyǒushénme yòngchu	Their change of plan is strange but I don't think it's significant.
世界杯决赛现在正向五十多个国家现场转播。	Shìjièbēi juésài xiànzài zhèng xiàng wǔshí duōge guójiā xiànchǎng zhuǎnbō	The World Cup final is being transmitted live to over fifty countries.
这条路线旅行的人以前常走，但是现在已不用了。	zhè tiáo lùxiàn lǚxíng de rén yǐqián cháng zǒu dànshì xiànzài yǐ bùyòng le	The route was once much travelled but has fallen into disuse.
他们试图利用更好的方法和工具来增加生产力。	tāmen shìtú lìyòng gèng hǎo de fāngfǎ hé gōngjù lái zēngjiā shēngchǎnlì	They tried to increase production by using better methods and tools.
他一想到自己对她的死负有责任就感到心如刀割。	tā yī xiǎngdào zìjǐ duì tā de sǐ fùyǒuzérèn jiù gǎndào xīnrúdāogē	The thought that he was responsible for her death preyed on his mind.
工会领袖号召抗议那天全体会员积极参加.	gōnghuì lǐngxiù hàozhào kàngyì nàtiān quántǐ huìyuán jījí cānjiā	Union leaders called for the active participation of all members in the day of protest.
前一代人制造出来的空洞理论，下一代人把它们打破。	qián yīdài rén zhìzào chūlái de kōngdòng lǐlùn xiàyīdài rén bǎ tāmen dǎpò	One generation blows bubbles, and the next breaks them.
你那篇文章的内容好极了, 但是表达方式不太好.	nǐ nà piān wénzhāng de nèiróng hǎo jíle dànshì biǎodá fāngshì bùtàihǎo	The content of your essay is excellent, but it's not very well expressed.
生产者与消费者之间的利益冲突将永远存在。	shēngchǎnzhě yǔ xiāofèizhě zhījiān de lìyì chōngtū jiāng yǒngyuǎn cúnzài	The conflicting interests of producers and consumers will be everlasting.
既然你无法回答这个问题，我们最好再问问别人。	jìrán nǐ wúfǎ huídá zhège wèntí wǒmen zuìhǎo zài wèn wèn biéren	Since you can't answer the question, perhaps we'd better ask someone else.
等所有的植物都开花时，花园会显得非常漂亮。	děng suǒyǒu de zhíwù dōu kāihuā shí huāyuán huì xiǎnde fēicháng piàoliang	The garden will look very beautiful when all the plants are in flower.
我的部分工作是同我们的供应商保持良好的关系。	wǒ de bùfen gōngzuò shì tóng wǒmen de gōngyìngshāng bǎochí liánghǎo de guānxi	Part of my job is to maintain good relationship with our suppliers.
我八点钟就到医院了，但是九点钟我才去值班。	wǒ bā diǎnzhōng jiù dào yīyuàn le dànshì jiǔ diǎnzhōng wǒ cái qù zhíbān	I arrive at the hospital at eight o'clock, but I don't go on duty until nine.
这家工厂的所有女职工在三八节都得到了一份礼物。	zhè jiā gōngchǎng de suǒyǒu nǚ zhígōng zài sānbā jié dōu dé dàoliǎo yī fèn lǐwù	All the female workers in this factory got a present on March 8.
因为污染严重，许多美丽的鱼类正在面临绝种。	yīnwèi wūrǎn yánzhòng xǔduō měilì de yúlèi zhèngzài miànlín juézhǒng	Many beautiful fish are fast disappearing because of the severe pollution.
那些喜欢和他一起踢足球的小男孩都把他当作叔叔。	nàxiē xǐhuan hé tā yīqǐ tī zúqiú de xiǎo nánhái dōu bǎ tā dàngzuò shūshu	He is uncle to all the little boys who like to play football with him.
那位记者发来了一篇描写极地生活的艰苦的文章。	nà wèi jìzhě fā lái le yī piān miáoxiě jí dì shēnghuó de jiānkǔ de wénzhāng	The reporter has sent an article describing the rigors of life at the poles.
别穿这些衣服去工作，要穿得象个专业人员的样子。	bié chuān zhèxiē yīfu qù gōngzuò yào chuān dé xiàng gè zhuānyè rényuán de yàngzi	Don't wear those clothes to work; try to look more professional!
如果最后你能够有所成就, 你的努力就不会白费。	rúguǒ zuìhòu nǐ nénggòu yǒusuǒ chéngjiù nǐ de nǔlì jiù bùhuì báifèi	Your efforts will not come to no avail, if you can achieve something at last.
你如果可以正确有效地使用一个词，你就是了解它了。	nǐ rúguǒ kěyǐ zhèngquè yǒuxiào dì shǐyòng yī gè cí nǐ jiùshì liǎojiě tā le	If you can use a word correctly and effectively you comprehend it.
他肯定是喝多了，当他要站起来时，却摔倒在地上。	tā kěndìng shì hē duō le dāng tā yào zhànqǐlai shí què shuāidǎo zài dìshang	He must have drunk too much; when he tried to stand up, he keeled over.
在空无一人的办公室里电话铃突然地发出刺耳的尖叫声。	zài kōngwúyīrén de bàngōngshì lǐ diànhuà líng tūrán dì fāchū cì'ěr de jiānjiào shēng	Telephone shrilled unattended in deserted office.
他不谈论这个令人不愉快的话题，而去谈论别的事情。	tā bù tánlùn zhège lìngrén bùyúkuài dehuà tí ér qù tánlùn biéde shìqing	He dismissed the unpleasant subject and talked about something else.
你必须先弄懂数学基础知识, 我们才能进一步学习.	nǐ bìxū xiān nòngdǒng shùxué jīchǔ zhīshi wǒmen cáinéng jìnyībù xuéxí	You must understand the elements of mathematics before we can proceed further.
我买不起像特德那样的照相机。这要花好大一笔钱。	wǒ mǎibuqǐ xiàng tè dé nàyàng de zhàoxiàngjī zhè yào huā hǎo dàyī bǐ qián	I can't possibly afford to buy a camera like Ted's. It costs the earth.
他把文件使劲扔在我的桌子上便怒气冲冲地走了出去。	tā bǎ wénjiàn shǐjìn rēng zài wǒ de zhuōzi shàng biàn nùqìchōngchōng dì zǒu le chūqù	He slammed the papers down on my desk and angrily walked out.
所有的顾问当中, 只有王先生提了一些中肯的建议。	suǒyǒu de gùwèn dāngzhōng zhǐyǒu wáng xiānsheng tí le yīxiē zhòngkěn de jiànyì	Of all the consultants, only Mr. Wang gave us some proposals in point.
他不久就逐渐习惯了宿舍的生活并交了两三个朋友。	tā bùjiǔ jiù zhújiàn xíguàn le sùshè de shēnghuó bìng jiāo le liǎng sān gè péngyou	He soon gets accustom to dormitory life and make two or three friend.
那位著名的进步思想家被邀请在会议上发表演讲。	nà wèi zhùmíng de jìnbù sīxiǎngjiā bèi yāoqǐng zài huìyì shàng fābiǎoyǎnjiǎng	That famous progressive thinker was asked to deliver a speech at the meeting.
人类的种种经验都证明了爱与怕之间的紧密联系。	rénlèi de zhǒngzhǒng jīngyàn dōu zhèngmíng le ài yǔ pà zhījiān de jǐnmì liánxì	All kinds of human experience testify to the close link between love and fear.
不论阶级，种族，性别，人人都可进这所学校上课。	bùlùn jiējí zhǒngzú xìngbié rénrén dōu kě jìn zhè suǒ xuéxiào shàngkè	Everybody can come to this school, without respect to class, race, or sex.
即使多年没有看见我的同学，我也马上认出了他。	jíshǐ duō nián méiyǒu kànjiàn wǒ de tóngxué wǒ yě mǎshàng rènchū le tā	Even though I hadn't seen my classmate for many years, I recognized him immediately.
这家新工厂给自然环境带来的影响可能是灾难性的。	zhè jiā xīn gōngchǎng gěi zìrán huánjìng dàilái de yǐngxiǎng kěnéng shì zāinànxìng de	This environmental effect of this new factory could be disastrous.
我在会上真出了洋相了--一站起来就把问题忘了.	wǒ zài huì shàng zhēn chū le yángxiàng le yī zhànqǐlai jiù bǎ wèntí wàng le	I made a real ass of myself at the meeting standing up and then forgetting the question.
这次新发现的石油对这个地区的经济有着重大的意义。	zhè cì xīn fāxiàn de shíyóu duì zhège dìqū de jīngjì yǒuzhe zhòngdà de yìyì	This new discovery of oil is of great significance to this area's economy.
这篇演讲非常令人失望，它回避了所有主要的问题。	zhè piān yǎnjiǎng fēicháng lìngrén shīwàng tā huíbì le suǒyǒu zhǔyào de wèntí	The speech was most disappointing; it skirted round all the main questions.
为了安全起见，在市内开车时速不要超过三十公里。	wèile ānquán qǐjiàn zài shìnèi kāichē shísù bùyào chāoguò sānshí gōnglǐ	For safety's sake, don't drive more than 30 kilometers per hour in the city.
你或许也会发现阅读已经变成是有趣的事，而不是工作。	nǐ huòxǔ yě huì fāxiàn yuèdú yǐjīng biànchéng shì yǒuqù de shì ér bùshì gōngzuò	You may also find that reading has become more fun than work!
他要养活自己的七个孩子，更不必说还有妻子和父母了。	tā yào yǎnghuo zìjǐ de qī gè háizi gèng bùbì shuō háiyǒu qīzi hé fùmǔ le	He had to support his seven children, to say nothing of his wife and parents.
亿万人的收入增加了，这是他们自己做梦也想不到的。	yì wànrén de shōurù zēngjiā le zhè shì tāmen zìjǐ zuòmèng yě xiǎngbudào de	Incomes of millions upon millions of people have increased beyond their dreams.
就翻译训练而言我认为这是一本无出其右的好书。	jiù fānyì xùnliàn éryán wǒ rènwéi zhè shì yī běn wúchūqíyòu de hǎo shū	This is a book, which I dare say, is unequaled as far as translation practice is concerned.
东边地平线上的一道淡红光线使我知道天快要亮了。	dōng biāndì píng xiànshàng de yīdào dàn hóng guāngxiàn shǐ wǒ zhīdào tiān kuàiyào liàng le	A line of pink on the eastern horizon told me that daybreak was near.
他们如果还顾及人的生命就不会做出这样可怕的事来。	tāmen rúguǒ hái gùjí rén de shēngmìng jiù bùhuì zuòchū zhèyàng kěpà de shì lái	If they had any respect for human life they wouldn't do such terrible things.
空难事件中有些人大难不死被新闻界广泛报导。	kōngnàn shìjiàn zhōng yǒuxiērén dànànbùsǐ bèi xīnwénjiè guǎngfàn bàodǎo	The miraculous survival of some people in the air crash was widely reported by the press.
老师帮助他上完了中学，但他无法完成大学的学业。	lǎoshī bāngzhù tā shàng wán le zhōngxué dàn tā wúfǎ wánchéng dàxué de xuéyè	The teacher helped him through high school, but he couldn't cut the buck in college.
我们送给那个可怜的小女孩一份生日礼物作为友谊的表示。	wǒmen sònggěi nàge kělián de xiǎo nǚhái yī fèn shēngrì lǐwù zuòwéi yǒuyì de biǎoshì	We sent the poor girl a birthday present in token of friendship.
就在这些季节里，热气团与冷气团的温差最大。	jiù zài zhèxiē jìjié lǐ rèqì tuán yǔ lěngqì tuán de wēnchā zuì dà	It is during these seasons that the differences in temperature between warm and cold masses of air are greatest.
在我们的城市，许多社会服务仍然是有志愿团体提供的。	zài wǒmen de chéngshì xǔduō shèhuìfúwù réngrán shì yǒu zhìyuàn tuántǐ tígōng de	Many social services are still provided by voluntary societies in our city.
当我不得不离开时，这个孩子情绪异常激动，忍不住哭了起来。	dāng wǒ bùdébù líkāi shí zhège háizi qíngxù yìcháng jīdòng rěnbuzhù kū le qilai	The boy got very emotional when I had to leave, and started to cry.
第二次世界大战期间，日本政府和德国签订了一项密约。	Dì'èr Cì Shìjiè Dàzhàn qījiān Rìběn zhèngfǔ hé Déguó qiāndìng le yī xiàng mìyuē	The Japanese Government made a secret deal with Germany during the Second World War.
他放弃了一份安定的工作而自己创业，表现出了极大的勇气。	tā fàngqì le yī fèn āndìng de gōngzuò ér zìjǐ chuàngyè biǎoxiàn chū le jídà de yǒngqì	He showed a lot of pluck to leave a safe job and set up his own business.
我们的文艺工作者一定要完成这个任务，转变他们的立场。	wǒmen de wényì gōngzuòzhě yīdìngyào wánchéng zhège rènwu zhuǎnbiàn tāmen de lìchǎng	Our literary and art workers must accomplish this task and shift their stand.
这鞋刚穿时要是有点紧没关系, 这种皮子很有延展性.	zhè xié gāng chuān shí yàoshi yǒudiǎn jǐn méiguānxi zhèzhǒng pízi hěn yǒu yánzhǎnxìng	Don't worry if the shoes seem a bit tight at first; the leather has plenty of give in it.
因为缺乏一名运动员我们只好叫这个小男孩做我们的队员。	yīnwèi quēfá yī míng yùndòngyuán wǒmen zhǐhǎo jiào zhège xiǎo nánhái zuò wǒmen de duìyuán	In the default of one player we have to take the little boy as our team member.
我认为你最后的那个论点是在转移目标，以便我们忘掉要点。	wǒ rènwéi nǐ zuìhòu de nàge lùndiǎn shì zài zhuǎnyí mùbiāo yǐbiàn wǒmen wàngdiào yàodiǎn	I think your last argument was a diversion to make us forget the main point.
我们还以为那是最坏的情况呢，可没想到更糟的还在后面。	wǒmen hái yǐwéi nàshi zuì huài de qíngkuàng ne kě méixiǎngdào gèng zāo de hái zài hòumian	We thought that the situation was as bad as it could be, but worse was to follow.
会议可能要延长到夜里，因为今晚有太多问题要解决。	huìyì kěnéng yào yáncháng dào yèli yīnwèi jīnwǎn yǒu tài duō wèntí yào jiějué	The meeting may be prolonged into the evening because so many problems have to be solved tonight.
他很有天分，但对选择的工作该怎样处理，他仍得好好学习。	tā hěn yǒu tiānfèn dàn duì xuǎnzé de gōngzuò gāi zěnyàng chǔlǐ tā réng dé hǎohǎo xuéxí	He has natural ability, but has yet to learn the mechanics of his chosen work.
同样的问题人们向他问得太多了，所以他的答案也是千篇一律。	tóngyàng de wèntí rénmen xiàng tā wèn dé tài duō le suǒyǐ tā de dá'àn yě shì qiānpiānyīlǜ	He was asked the same question so many times that the answer became mechanical.
你要是英语讲得不好，找工作时就会处于非常不利的地位。	nǐ yàoshi Yīngyǔ jiǎng dé bùhǎo zhǎo gōngzuò shí jiù huì chǔyú fēicháng bùlì de dìwèi	If you don't speak good English, you'll be at a big disadvantage when you try to get a job.
我们都要做好自己工作，并且要在工作中找到精神上的乐趣。	wǒmen dōu yào zuò hǎo zìjǐ gōngzuò bìngqiě yào zài gōngzuò zhōng zhǎodào jīngshén shàng de lèqù	We must cultivate our own garden and find the joy of doing it in our own heart.
如果老师连如此简单的问题都不能回答, 他会在学生面前丢脸的。	rúguǒ lǎoshī lián rúcǐ jiǎndān de wèntí dōu bùnéng huídá tā huì zài xuésheng miànqián diūliǎn de	If a teacher can't answer this simple question, he'll lose face with his class.
他忍受对自己人品的攻击而不发火，表现出巨大的自我控制能力。	tā rěnshòu duì zìjǐ rénpǐn de gōngjī ér bù fāhuǒ biǎoxiàn chū jùdà de zìwǒ kòngzhì nénglì	He showed great moderation in not responding angrily to the attacks on his character.
虽然很多人反对他的计划，他仍能巧妙地设法使它最后获得通过。	tā rěnshòu duì zìjǐ rénpǐn de gōngjī ér bù fāhuǒ biǎoxiàn chū jùdà de zìwǒ kòngzhì nénglì	Although many people opposed his plan, he engineered it through to final approval.
沿海地区的冬天天气暖和，可是相比之下中部平原却异常寒冷。	yánhǎidìqū de dōngtiān tiānqì nuǎnhuo kěshì xiāngbǐ zhīxià zhōngbù píngyuán què yìcháng hánlěng	The coastal areas have mild winters, but by contrast the central plains become extremely cold.
在西方极乐世界，大夫们比我们当将军的可能还要负更多人命之责吧。	zài xīfāngjílèshìjiè dàifu men bǐ wǒmen dāng jiāngjūn de kěnéng hái yào fù gèng duō rénmìng zhī zé ba	Doctor will have more lives to answer for in the next world than even we generals.
我在街上遇到她，可是当我向她微笑时，她却连招呼都没有向我打一个。	wǒ zài jiēshang yùdào tā kěshì dāng wǒ xiàng tā wēixiào shí tā què lián zhāohu dōu méiyǒu xiàng wǒ dǎ yī gè	I passed her in the street but she didn't even acknowledge me when I smiled.
现在就想回去，为了冷却他那急切的心，暂把他送到法国的哥哥家中。	xiànzài jiù xiǎng huíqu wèile lěngquè tā nà jíqiè de xīn zàn bǎ tā sòng dào Fǎguó de gēge jiāzhōng	Now he wanted to go back, but to damp down the urge he was sent to his brother's home in France.
他向新闻记者讲了这次谈话的情况，却不愿把实况录音磁带放给他们听。	tā xiàng xīnwénjìzhě jiǎng le zhè cì tánhuà de qíngkuàng què bùyuàn bǎ shíkuànglùyīn cídài fàng gěi tāmen tīng	He told the newspapermen about the conversation, but would not play them the actual tape of it.
随着逐渐成熟，许多年轻的激进分子对 生活和社会渐持较为宽容的态度。	suízhe zhújiàn chéngshú xǔduō niánqīng de jījìnfènzǐ duì shēnghuó hé shèhuì jiàn chí jiàowéi kuānróng de tàidu	As they mature, many young radicals mellow into a more tolerant attitude towards life and society.
议会开会的第一天，新政府中的一位部长就和反对党的一位议员争论起来。	yìhuì kāihuì de dìyī tiān xīn zhèngfǔ zhòngdì yī wèi bùzhǎng jiù hé fǎnduìdǎng de yī wèi yìyuán zhēnglùn qilai	A minister in the new government crossed swords with a member of the Opposition on the first day after Parliament opened.
音乐学生学习给一个现有的调子配上其他音部，还要学习怎样转成和声调。	yīnyuè xuésheng xuéxí gěi yī gè xiàn yǒude diàozi pèi shàng qítā yīn bù hái yào xuéxí zěnyàng zhuàn chéng héshēng diào	Music students learn how to add other parts to add other parts to a given tune, and how to modulate to a related key.
我浑身疼痛。	wǒ húnshēn téngtòng	I ache all over.
饥饿引起犯罪。	jī'è yǐnqǐ fànzuì	Hunger begets crime.
车子毁了一半。	chēzi huǐ le yībàn	Half the car was damaged.
黑天鹅很稀有。	hēi tiān'é hěn xīyǒu	A black swan is rare.
哦，也许我错了。	o yěxǔ wǒ cuò le	Oh, maybe I was wrong.
不要践踏草地。	bùyào jiàntà cǎodì	Don't trample on the grass.
他在雪中漫步。	tā zài xuě zhōng mànbù	He is walking amidst the snow.
他被罚款200美元。	tā bèi fákuǎn Měiyuán	He was fined 200 dollars.
我们忠于祖国。	wǒmen zhōngyú zǔguó	We are loyal to our motherland.
他渴望拥有权力。	tā kěwàng yōngyǒu quánlì	He was thirsty for power.
瓶上标明有毒。	píng shàng biāomíng yǒudú	The bottle is labeled poison.
他擦去铅笔的痕迹。	tā cā qù qiānbǐ de hénjì	He erases pencil marks.
人生幸福易逝。	rénshēng xìngfú yìshì	Human happiness is so fragile.
吵闹声使他烦躁。	chǎonàoshēng shǐ tā fánzào	The loud noise chafed him.
青蛙跳进了沟里。	qīngwā tiàojìn le gōu lǐ	The frog jumped into the ditch.
父辈应当被尊重。	fùbèi yīngdāng bèi zūnzhòng	A sire should be respected.
真是倒霉的日子。	zhēnshi dǎoméi de rìzi	It's just been one of those days.
她把孩子抱在怀里.	tā bǎ háizi bào zài huáilǐ	She nestled the baby in her arms.
她匆匆赶往机场。	tā cōngcōng gǎnwǎng jīchǎng	She hurried to the airport.
她一辈子搞戏剧。	tā yībèizi gǎo xìjù	She is been in the theater all her life.
我喜欢戴银首饰。	wǒ xǐhuan dài yín shǒushì	I like to wear argentine jewellery.
爱情不分贫富。	àiqíng bùfēn pínfù	Love lives in cottages as well as in courts.
他被一头野猪袭击。	tā bèi yītóu yězhū xíjī	He was attacked by a wild boar.
他被他的老板解雇了。	tā bèi tā de lǎobǎn jiěgù le	He was fired by his boss.
炮兵部署在西边.	pàobīng bùshǔ zài xībiān	Artillery was deployed in the west.
有炸鸡肉作晚餐。	yǒu zhá jīròu zuò wǎncān	There was fried chicken for dinner.
他们衷心欢迎他。	tāmen zhōngxīn huānyíng tā	They gave him a hearty welcome.
金属遇热则膨胀。	jīnshǔ yù rè zé péngzhàng	Metals expand when they are heated.
我们在黑暗中摸索。	wǒmen zài hēi'àn zhōng mōsuo	We groped amid the darkness.
我只耽搁你几分钟。	wǒ zhǐ dānge nǐ jǐ fēnzhōng	I'll only keep you a few minutes.
那不是很恰当的话。	nà bùshì hěn qiàdàng dehuà	That was not a very happy remark.
熊猫是珍贵的动物。	xióngmāo shì zhēnguì de dòngwù	Pandas are precious creatures.
鸽子是和平的象征。	gēzi shì hépíng de xiàngzhēng	The dove is the symbol of peace.
我们宁死而不投降。	wǒmen nìng sǐ ér bù tóuxiáng	We would rather die than surrender.
我把赚的钱都花光了。	wǒ bǎ zhuàn de qián dōu huāguāng le	I've spent all my earnings.
他欣然接受了我的报价。	tā xīnrán jiēshòu le wǒ de bàojià	He pounced on my offer.
码头工人开始卸货。	mǎtóu gōngrén kāishǐ xièhuò	Dockers started unloading the ship.
小孩有柔软的身体。	xiǎohái yǒu róuruǎn de shēntǐ	Little babies have lithe bodies.
植物因缺水而枯死了。	zhíwù yīn quēshuǐ ér kū sǐ le	The plant died for lack of water.
她讲了一辈子中文。	tā jiǎng le yībèizi Zhōngwén	She has spoken Chinese all her life.
饲养员正在喂动物。	sìyǎngyuán zhèngzài wèi dòngwù	The keeper is feeding the animals.
鼓声平稳而缓慢。	gǔshēng píngwěn ér huǎnmàn	The beats of the drum were steady and slow.
他妨碍我把工作做好。	tā fáng'ài wǒ bǎ gōngzuò zuò hǎo	He impedes me to do the job well.
他的画在画廊展出。	tā de huà zài huàláng zhǎnchū	His pictures were showed in the gallery.
我们昨晚畅饮了一次酒。	wǒmen zuówǎn chàngyǐn le yīcì jiǔ	We quaffed wine last night.
我上个月瘦了好几磅。	wǒ shànggèyuè shòu le hǎojǐ bàng	I lost several pounds last month.
小女孩在河里淹死了。	xiǎo nǚhái zài hé lǐ yānsǐ le	The little girl drowned in the river.
他的经验缓慢地成熟。	tā de jīngyàn huǎnmàn dì chéngshú	His experience has a slow maturity.
汽车停止时震动了一下。	qìchē tíngzhǐ shí zhèndòng le yīxià	The car stopped with a jolt.
镜头转换到一座坟墓。	jìngtóu zhuǎnhuàn dào yī zuò fénmù	The scene shifted to a sepulcher.
湿润的风从南方吹来。	shīrùn de fēng cóng nánfāng chuī lái	A humid wind blew from the south.
我不喜欢喝速溶咖啡。	wǒ bù xǐhuan hē sùróngkāfēi	I don't like to drink instant coffee.
不要干涉别人的事情。	bùyào gānshè biéren de shìqing	Don't meddle with other men's business.
你走时别忘了锁门。	nǐ zǒu shí bié wàng le suǒmén	Don't neglect to lock the door when you leave.
她把糖搅和到咖啡里。	tā bǎ táng jiǎohuo dào kāfēi lǐ	She stirred the sugar into her coffee.
门前挂着一幅门帘。	ménqián guà zhe yī fú mén lián	A portiere was hanging in front of the door.
他不辞劳苦地学习英语。	tā bùcíláokǔ dì xuéxí Yīngyǔ	He spares no pains to study English.
他对疯狂英语很着迷。	tā duì fēngkuáng Yīngyǔ hěn zháomí	He is crazy about Crazy English.
那儿有很多喂牛的饲料。	nàr yǒu hěn duō wèi niú de sìliào	There is much forage for the cattle.
春天里万物欣欣向荣。	chūntiān lǐ wànwù xīnxīnxiàngróng	Nature is at its best in spring.
历史常为偏见所曲解。	lìshǐ cháng wéi piānjiàn suǒ qūjiě	Histories are often warped by biases.
飞机停在那个大机库里。	fēijī tíng zài nàge dà jīkù lǐ	The plane stopped in that big hangar.
真正的权力属于人民。	zhēnzhèng de quánlì shǔyú rénmín	The real power resides in the people.
我喜欢熟桃的香甜味。	wǒ xǐhuan shú táo de xiāng tiánwèi	I like the luscious taste of ripe peaches.
他开始对工作感到厌倦。	tā kāishǐ duì gōngzuò gǎndào yànjuàn	He began to weary of the work.
他把椅子从窗户中抛出。	tā bǎ yǐzi cóng chuānghu zhōng pāochū	He hove a chair through the window.
这些餐桌是纵向摆放的。	zhèxiē cānzhuō shì zòngxiàng bǎifàng de	The tables were laid lengthwise.
这好消息使我精神大振。	zhè hǎo xiāoxi shǐ wǒ jīngshén dà zhèn	The good news lifted my spirits.
这走廊通到他的办公室。	zhè zǒuláng tōng dào tā de bàngōngshì	The corridor opens into his office.
他是农村一大牧区的牧师.	tā shì nóngcūn yī dà mùqū de mùshī	He is vicar of a large rural parish.
法官判他罚款10 美元。	fǎguān pàn tā fákuǎn Měiyuán	The judge imposed a fine of ten dollars on him.
她太小了，不能骑脚踏车。	tā tài xiǎo le bùnéng qí jiǎotàchē	She is too little to ride a bicycle.
我挣多少钱与你无关。	wǒ zhèng duōshao qián yǔ nǐ wúguān	How much money I earn is none of your concern.
他对我的成功满怀羡慕。	tā duì wǒ de chénggōng mǎnhuái xiànmù	He was filled with envy at my success.
